a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	13	s10	s3	1372382	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000002	0.000012	0.000002	0.000002	0.000002	0.000000	0.000002	0.000002	0.000008	-0.000005	-1807613.194515	59	-1807614.373445	0.993767	4.618801e-01,1.604476e-01,2.189822e-02,1.902762e-01,1.026429e-01,1.877175e-02,2.133133e-02,1.779732e-02,4.954574e-03	0.421164	0.238415	0.027311	-2113692.774524	6
0	14	s10	s4	1372322	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000012	0.000002	0.000002	0.000007	0.000002	0.000002	0.000004	0.000002	0.000006	0.000012	-0.000000	-1831477.620693	74	-1831478.705143	0.993723	4.639775e-01,1.581907e-01,2.201351e-02,1.740185e-01,1.178254e-01,1.996930e-02,2.004958e-02,1.791207e-02,6.043392e-03	0.356995	0.285877	0.055633	-2126491.574312	6
0	15	s10	s5	1372239	0.989947	0.000000	0.000000	0.010053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005027	-0.005026	-1850656.416732	66	-1	0.993663	4.621782e-01,1.510521e-01,3.082017e-02,1.804305e-01,1.098543e-01,2.156270e-02,2.250126e-02,1.606427e-02,5.536497e-03	0.485383	0.260053	0.005454	-2149504.811655	6
0	16	s10	s6	1372279	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007	0.000000	0.000000	0.000004	0.000000	0.000000	0.000000	0.000000	0.000001	0.000007	0.000000	-1834870.689789	78	-1834871.315937	0.993692	4.618378e-01,1.600452e-01,2.227831e-02,1.731450e-01,1.192686e-01,1.938900e-02,2.050820e-02,1.773036e-02,5.797536e-03	0.358741	0.288719	0.055343	-2129047.689936	6
0	17	s10	s7	1372744	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000001	0.000000	0.000002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.000000	-1809847.617550	82	-1809848.229259	0.994029	4.568752e-01,1.661363e-01,2.117987e-02,1.885977e-01,1.051658e-01,1.796619e-02,2.105690e-02,1.794354e-02,5.078588e-03	0.401621	0.242944	0.034431	-2119254.847866	6
0	18	s10	s8	1372264	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000002	-0.000002	-1814492.510944	58	-1814492.631715	0.993681	4.655144e-01,1.566996e-01,2.204656e-02,1.894249e-01,1.027761e-01,1.949973e-02,2.044134e-02,1.773792e-02,5.859477e-03	0.413402	0.241344	0.030226	-2112396.178761	6
0	19	s10	s9	1372442	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000005	0.000001	0.000002	0.000003	0.000001	0.000001	0.000000	0.000001	0.000001	0.000006	-0.000000	-1813965.106068	46	-1813965.832912	0.993810	4.629913e-01,1.603744e-01,2.085227e-02,1.853648e-01,1.067158e-01,1.963324e-02,2.009882e-02,1.809023e-02,5.879129e-03	0.383740	0.251443	0.041571	-2116766.677229	6
1	2	s11	s12	1372878	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000001	0.000001	0.000005	0.000001	0.000001	0.000000	0.000001	0.000001	0.000009	0.000000	-1797460.193018	54	-1797460.797477	0.994126	4.897726e-01,1.646418e-01,2.045242e-02,1.565860e-01,1.044119e-01,1.805017e-02,2.114612e-02,1.922579e-02,5.713270e-03	0.398408	0.260963	0.037394	-2077400.794006	6
1	3	s11	s13	1372605	0.921453	0.037961	0.040585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.059566	0.000000	0.000000	0.029783	0.000000	0.000000	0.040585	0.000000	0.040585	0.059566	-0.000000	-1792640.214006	118	-1	0.993928	5.080827e-01,1.483432e-01,1.845266e-02,1.460104e-01,1.122228e-01,2.081802e-02,1.805586e-02,2.087492e-02,7.139585e-03	0.325322	0.301225	0.069949	-2055827.967469	6
1	4	s11	s14	1372659	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000003	0.000001	0.000002	0.000001	0.000001	0.000000	0.000001	0.000001	0.000004	0.000001	-1809411.942962	54	-1809412.515982	0.993967	4.694379e-01,1.848151e-01,2.062268e-02,1.557681e-01,1.049596e-01,1.833355e-02,2.145471e-02,1.909912e-02,5.509194e-03	0.400891	0.249848	0.035386	-2107148.393312	6
