a	b	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	FDiff	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	14	1490	0.887496	0.000034	0.112470	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.112487	0.000000	0.000000	0.056244	0.000000	0.000000	0.112470	0.000000	0.112470	0.112487	-0.000000	-2114.281808	266	-1	0.223556	3.123846e-01,1.792995e-01,5.657434e-08,1.798952e-01,3.284204e-01,3.096833e-08,2.413537e-07,9.544288e-09,3.879055e-08	0.000001	0.914323	0.323237	-2185.185549	34
0	15	1500	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000000	0.000000	0.000005	0.000000	0.000000	0.000008	0.000000	0.000008	0.000009	-0.000000	-2149.554065	78	-2149.554870	0.225056	2.531234e-01,2.474991e-01,2.329234e-08,2.238244e-01,2.755525e-01,1.423736e-08,1.557547e-07,3.608414e-07,1.167747e-08	0.000001	0.584635	0.269507	-2204.608201	22
0	16	1552	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000018	0.000000	0.000000	0.000009	0.000000	0.000000	0.000016	0.000000	0.000016	0.000018	-0.000000	-2151.257548	102	-2151.258277	0.232858	3.054514e-01,2.047228e-01,1.399875e-11,2.305660e-01,2.592592e-01,3.055194e-09,2.710645e-09,4.096918e-08,6.407921e-07	0.000000	0.595603	0.271815	-2240.668184	26
0	17	1560	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000010	0.000000	0.000000	0.000005	0.000000	0.000000	0.000010	0.000000	0.000010	0.000010	0.000000	-2263.236282	78	-2263.236905	0.234059	2.808900e-01,2.316510e-01,6.498823e-09,2.293812e-01,2.580777e-01,2.323597e-11,1.797813e-11,1.654905e-08,7.634676e-08	0.000000	0.559782	0.264103	-2334.913906	35
0	18	1422	0.969490	0.000000	0.030510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030510	0.000001	0.000000	0.015255	0.000000	0.000000	0.030510	0.000000	0.030510	0.030510	-0.000000	-1983.818161	78	-1	0.213353	2.655583e-01,2.117672e-01,8.723946e-09,1.924627e-01,3.302115e-01,3.840742e-08,1.169052e-09,1.488718e-08,1.903998e-07	0.000000	0.816890	0.310159	-2036.492407	22
0	19	1488	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000005	0.000000	0.000005	0.000006	-0.000000	-2143.436317	66	-2143.437003	0.223256	2.315179e-01,2.705869e-01,1.169008e-06,2.068818e-01,2.910105e-01,6.626400e-08,4.384971e-07,1.260262e-06,4.593643e-08	0.000006	0.609482	0.274667	-2181.925206	23
1	2	1320	0.957498	0.000000	0.042501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.042502	0.000001	0.000001	0.021251	0.000001	0.000001	0.042501	0.000001	0.042502	0.042502	-0.000000	-1889.735513	78	-1	0.198050	3.103198e-01,1.911841e-01,9.874601e-07,1.895077e-01,3.089867e-01,3.237324e-12,2.536525e-08,4.429493e-11,6.850922e-07	0.000003	0.811643	0.309398	-1969.042661	22
1	3	1440	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000072	0.000000	0.000000	0.000036	0.000000	0.000000	0.000072	0.000000	0.000072	0.000072	-0.000000	-2112.702704	114	-2112.703379	0.216054	2.894896e-01,2.004620e-01,9.993281e-09,1.937586e-01,3.162817e-01,7.009422e-09,1.514220e-08,8.003589e-06,1.125988e-08	0.000000	0.802280	0.308029	-2238.633858	35
1	4	1520	0.966581	0.000000	0.033418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.033419	0.000001	0.000001	0.016710	0.000001	0.000001	0.033418	0.000001	0.033419	0.033419	-0.000000	-2182.716934	94	-1	0.228057	2.802856e-01,2.054556e-01,9.711086e-09,1.860519e-01,3.282068e-01,1.145123e-08,3.039513e-08,3.160562e-08,4.254086e-09	0.000000	0.838315	0.313198	-2246.564644	26
1	5	1508	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	-0.000000	-2206.061249	86	-2206.061808	0.226257	2.818145e-01,2.230179e-01,1.074510e-09,2.234645e-01,2.717019e-01,6.919644e-07,4.271033e-08,3.547430e-07,1.756672e-07	0.000000	0.608537	0.274478	-2298.055006	26
1	6	1516	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000077	0.000000	0.000000	0.000038	0.000000	0.000000	0.000077	0.000000	0.000077	0.000077	0.000000	-2097.495255	94	-2097.495981	0.227457	2.892460e-01,2.160129e-01,3.013295e-08,2.047628e-01,2.899737e-01,5.911013e-09,3.340136e-08,3.792814e-06,6.880956e-07	0.000000	0.689135	0.289763	-2193.366883	34
1	7	1467	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000000	0.000001	0.000001	0.000000	-2234.542253	78	-2234.542278	0.220105	2.878537e-01,2.036304e-01,3.963540e-08,2.298827e-01,2.786319e-01,9.858963e-08,2.303442e-07,6.421685e-07,2.615321e-07	0.000001	0.642728	0.281225	-2337.679938	22
1	8	1552	0.942778	0.000000	0.057221	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057222	0.000000	0.000000	0.028611	0.000000	0.000000	0.057221	0.000000	0.057222	0.057222	0.000000	-2295.624885	102	-1	0.232858	2.717421e-01,1.763612e-01,3.078144e-07,1.918121e-01,3.600821e-01,9.604891e-08,3.782549e-07,1.050259e-06,7.914246e-07	0.000002	0.978019	0.330854	-2385.294865	23
1	9	1276	0.982763	0.000000	0.017237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017237	0.000000	0.000000	0.008618	0.000000	0.000000	0.017237	0.000000	0.017237	0.017237	0.000000	-1817.039179	134	-1	0.191448	2.865399e-01,1.880742e-01,8.884947e-08,2.091575e-01,3.162275e-01,2.637883e-07,1.854507e-07,1.602547e-07,9.887129e-08	0.000001	0.796077	0.307110	-1885.047110	22
1	10	1649	0.966525	0.000000	0.033472	0.000000	0.000000	0.000000	0.000002	0.000000	0.000001	0.033474	0.000003	0.000001	0.016738	0.000002	0.000001	0.033472	0.000001	0.033473	0.033475	-0.000000	-2438.989687	106	-1	0.247412	2.525820e-01,2.406864e-01,2.211883e-09,1.411046e-01,3.656267e-01,4.586183e-08,1.194181e-07,9.042448e-08,2.933148e-08	0.000000	0.957661	0.328492	-2482.536942	26
