0.0472102 	 0.269797 	 5.71479
0.057767 	 0.28431 	 4.92166
0.0564984 	 0.280546 	 4.96555
0.0560127 	 0.301876 	 5.38942
0.055067 	 0.308394 	 5.60035
0.0550703 	 0.285713 	 5.18815
0.0557885 	 0.307839 	 5.51796
0.0673995 	 0.312403 	 4.63509
0.055545 	 0.299425 	 5.39067
0.0490078 	 0.267324 	 5.45473
0.0679228 	 0.381213 	 5.61246
0.0559296 	 0.295466 	 5.28281
0.0564016 	 0.31884 	 5.65303
0.0603955 	 0.333395 	 5.52019
0.0585022 	 0.285502 	 4.8802
0.0573778 	 0.3241 	 5.64852
0.0564683 	 0.286402 	 5.07191
0.0712127 	 0.31771 	 4.46142
0.0570913 	 0.319701 	 5.59982
0.059422 	 0.289642 	 4.87432
