a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	1	s10	s11	757888	0.647423	0	0	0	0	0.35256	0	0.000016	0	0.000001	0.352576	0.000016	0	0	0	0.000016	0	0.000016	0.176297	0.17628	-1035823.007	102	-1	0.989827	"4.825941e-01,1.695512e-01,2.549960e-02,1.273824e-01,6.750503e-02,7.203099e-04,7.888987e-02,3.895392e-02,8.903567e-03"	1.546396	0.153074	-0.299552	-1190984.222	9
0	2	s10	s12	758441	0.647751	0	0.000001	0	0	0.352247	0.000001	0.000001	0	0.000002	0.352248	0.000001	0.000001	0	0	0.000002	0	0.000002	0.176126	0.176123	-1039340.071	86	-1	0.99055	"4.807016e-01,1.701312e-01,2.630583e-02,1.283915e-01,6.682640e-02,6.777771e-04,7.892475e-02,3.893222e-02,9.108739e-03"	1.574686	0.150726	-0.304449	-1194132.179	7
0	3	s10	s13	757849	0.647509	0	0	0	0	0.352491	0	0	0	0	0.352491	0	0	0	0	0	0	0	0.176246	0.176245	-1039831.052	114	-1	0.989776	"4.801374e-01,1.716380e-01,2.579368e-02,1.267715e-01,6.828103e-02,6.174430e-04,7.783132e-02,3.989114e-02,9.038523e-03"	1.517625	0.154292	-0.292271	-1193685.486	7
0	4	s10	s14	758041	0.149278	0.000002	0.498904	0	0	0.000008	0	0.023092	0.328717	0.827621	0.351817	0.351809	0.578169	0.328717	0.328717	0.521995	0.328717	0.850712	0.850717	0.000004	-786561.4654	118	-1	0.990027	"6.393410e-01,2.797066e-02,7.164636e-03,2.572493e-02,1.715650e-01,8.076641e-04,7.442080e-03,6.046478e-04,1.193793e-01"	0.085138	2.460962	0.357454	-871929.7379	10
0	5	s10	s15	756884	0.230616	0	0.300448	0.000001	0	0	0	0.468936	0	0.300448	0.468936	0.468936	0.150224	0	0	0.769384	0	0.769384	0.769384	0	-1009349.03	86	-1	0.988516	"5.387817e-01,3.576178e-02,1.002858e-01,4.059624e-02,1.560888e-01,9.913029e-04,1.006617e-01,7.200786e-04,2.611263e-02"	1.287392	0.559424	-0.629873	-1108375.535	10
0	6	s10	s16	758460	0.647819	0	0	0	0	0.352155	0.000001	0.000025	0	0.000001	0.35218	0.000025	0	0	0	0.000025	0	0.000025	0.176103	0.176077	-1039319.153	55	-1	0.990574	"4.806296e-01,1.719278e-01,2.458080e-02,1.272138e-01,6.793546e-02,7.284657e-04,7.741234e-02,4.063505e-02,8.936739e-03"	1.501324	0.153527	-0.285595	-1193570.334	7
0	7	s10	s17	757082	0.235572	0.000002	0.296705	0.000004	0	0.000003	0	0.467714	0	0.296706	0.467717	0.467718	0.148353	0	0	0.764419	0	0.764419	0.764423	-0.000001	-1022482.899	54	-1	0.988775	"5.271866e-01,4.143365e-02,1.056890e-01,3.674361e-02,1.604850e-01,8.865321e-04,1.023327e-01,7.237973e-04,2.451913e-02"	1.296206	0.557609	-0.637688	-1118668.38	9
0	8	s10	s18	756819	0.229113	0	0.310762	0	0	0	0	0.460125	0	0.310762	0.460125	0.460125	0.155381	0	0	0.770886	0	0.770886	0.770887	0	-1012725.57	42	-1	0.988431	"5.354729e-01,3.989250e-02,9.907014e-02,3.633368e-02,1.606649e-01,9.723267e-04,9.959386e-02,8.011996e-04,2.719842e-02"	1.236511	0.580723	-0.592651	-1111350.669	10
0	9	s10	s19	757667	0.647486	0	0	0	0	0.352513	0	0	0	0	0.352514	0	0	0	0	0	0	0	0.176257	0.176257	-1040520.251	50	-1	0.989539	"4.730933e-01,1.797273e-01,2.477413e-02,1.262931e-01,6.878703e-02,5.787143e-04,7.823490e-02,3.989687e-02,8.614677e-03"	1.497507	0.153028	-0.283494	-1196669.538	7
0	10	s10	S1	757233	0.229484	0	0.29957	0.000005	0	0.000006	0	0.470935	0	0.29957	0.470941	0.47094	0.149785	0	0	0.770505	0	0.770505	0.770511	0.000001	-1019566.458	91	-1	0.988972	"5.323085e-01,3.789927e-02,1.044464e-01,3.850133e-02,1.584144e-01,9.290352e-04,1.008450e-01,8.092319e-04,2.584688e-02"	1.295914	0.558918	-0.638453	-1114471.386	10
0	11	s10	s20	759300	0.695024	0	0	0	0	0.120672	0.184304	0	0	0.138228	0.304975	0	0.092152	0.092152	0	0	0	0	0.24464	0.060336	-1167949.028	66	-1	0.991671	"2.894197e-01,3.881057e-01,2.072452e-06,5.448489e-02,1.413027e-01,2.497091e-05,4.100664e-03,1.221735e-01,3.858270e-04"	0.029035	0.248382	0.157066	-1097384.65	9
0	12	s10	S2	758503	0.647639	0	0	0	0	0.352351	0.000001	0.000009	0	0.000001	0.35236	0.000009	0	0	0	0.000009	0	0.000009	0.176185	0.176175	-1039590.545	82	-1	0.990631	"4.801562e-01,1.711605e-01,2.586410e-02,1.278018e-01,6.746327e-02,5.702861e-04,7.852725e-02,3.947125e-02,8.985316e-03"	1.54738	0.152152	-0.298186	-1194153.327	9
0	13	s10	s3	758528	0.64778	0	0	0	0	0.352196	0	0.000024	0	0	0.35222	0.000024	0	0	0	0.000024	0	0.000024	0.176122	0.176098	-1040811.933	98	-1	0.990663	"4.768472e-01,1.739428e-01,2.635402e-02,1.274232e-01,6.786996e-02,6.104304e-04,7.866702e-02,3.965858e-02,8.626850e-03"	1.547386	0.151951	-0.297821	-1197158.856	7
0	14	s10	s4	757410	0.231307	0	0.300401	0.000003	0	0	0	0.468289	0	0.300401	0.46829	0.468292	0.150201	0	0	0.76869	0	0.76869	0.768692	-0.000001	-1014451.218	98	-1	0.989203	"5.359524e-01,3.715267e-02,1.016259e-01,3.954509e-02,1.572915e-01,9.971340e-04,1.005082e-01,7.887392e-04,2.613845e-02"	1.285092	0.560519	-0.628333	-1111946.382	10
0	15	s10	s5	757069	0.230627	0.000001	0.304224	0.000002	0	0.000002	0	0.465143	0	0.304225	0.465145	0.465146	0.152112	0	0	0.769368	0	0.769368	0.76937	0	-1016949.417	42	-1	0.988758	"5.341060e-01,3.900935e-02,1.014549e-01,3.773039e-02,1.593225e-01,9.372289e-04,1.003103e-01,7.585576e-04,2.637079e-02"	1.266395	0.568601	-0.615008	-1113509.566	10
0	16	s10	s6	757192	0.229712	0.000001	0.304648	0	0	0	0	0.465639	0	0.304648	0.465639	0.465639	0.152324	0	0	0.770287	0	0.770287	0.770287	0	-1014606.082	46	-1	0.988918	"5.342440e-01,3.880054e-02,1.014265e-01,3.711814e-02,1.599768e-01,9.760865e-04,1.012642e-01,8.443846e-04,2.534924e-02"	1.267001	0.57047	-0.617071	-1111885.781	10
0	17	s10	s7	758000	0.64744	0	0	0	0.000002	0.352554	0	0.000005	0	0.000002	0.352559	0.000007	0.000001	0	0.000001	0.000005	0	0.000005	0.176284	0.176277	-1040016.779	50	-1	0.989974	"4.641660e-01,1.892253e-01,2.419491e-02,1.256608e-01,6.943570e-02,5.700932e-04,8.006925e-02,3.910497e-02,7.573027e-03"	1.501593	0.151334	-0.281888	-1200621.781	7
0	18	s10	s8	758539	0.647699	0	0.000001	0	0	0.352292	0	0.000008	0	0.000001	0.3523	0.000008	0	0	0	0.000008	0	0.000008	0.176154	0.176146	-1038942.459	90	-1	0.990678	"4.781481e-01,1.742586e-01,2.471882e-02,1.299469e-01,6.522777e-02,7.098940e-04,7.805700e-02,4.004411e-02,8.888659e-03"	1.575645	0.145684	-0.295161	-1193954.046	7
0	19	s10	s9	757797	0.647266	0	0	0	0	0.352727	0	0.000006	0	0.000001	0.352733	0.000006	0.000001	0	0	0.000006	0	0.000007	0.17637	0.176363	-1042680.512	34	-1	0.989708	"4.743259e-01,1.782616e-01,2.508100e-02,1.275653e-01,6.735443e-02,6.696314e-04,7.804298e-02,3.989927e-02,8.799949e-03"	1.531064	0.149836	-0.288697	-1196299.294	7
1	2	s11	s12	760299	0.855478	0.000015	0.144506	0	0	0	0	0	0.000001	0.144514	0.000001	0.000001	0.072258	0.000001	0.000001	0.144506	0.000001	0.144507	0.144515	0	-946328.1645	54	-1	0.992976	"5.432303e-01,1.299570e-01,1.566878e-02,1.295034e-01,1.315849e-01,1.497890e-02,1.511153e-02,1.455372e-02,5.411544e-03"	0.23392	0.411494	0.126818	-1074046.203	6
1	3	s11	s13	760242	0.861289	0.000028	0.138682	0	0	0	0	0	0	0.138696	0	0	0.069348	0	0	0.138682	0	0.138682	0.138697	0	-948594.9275	54	-1	0.992902	"5.404327e-01,1.326776e-01,1.571515e-02,1.290336e-01,1.323891e-01,1.468400e-02,1.529867e-02,1.476337e-02,5.005737e-03"	0.234263	0.410926	0.126564	-1076287.889	6
1	4	s11	s14	758381	0.652123	0	0	0.347874	0	0	0	0.000002	0	0	0.000002	0.347876	0	0	0	0.000002	0	0.000002	0.173939	-0.173937	-1039727.982	102	-1	0.990471	"4.792916e-01,1.304426e-01,7.912877e-02,1.700017e-01,6.683610e-02,3.915632e-02,2.566516e-02,6.466547e-04,8.831042e-03"	1.567924	0.15018	-0.301215	-1194449.144	7
1	5	s11	s15	758240	0.620071	0	0	0.379914	0	0	0	0.000013	0.000003	0.000003	0.000016	0.379929	0.000003	0.000003	0.000003	0.000013	0.000003	0.000016	0.189972	-0.189957	-1047401.4	50	-1	0.990287	"4.917477e-01,1.238870e-01,7.321745e-02,1.670082e-01,6.601312e-02,4.303828e-02,2.396275e-02,6.282506e-04,1.049718e-02"	1.472135	0.152899	-0.275076	-1184493.76	7
1	6	s11	s16	760329	0.860338	0.000068	0.139594	0	0	0	0	0	0	0.139628	0	0	0.069814	0	0	0.139594	0	0.139594	0.139628	0	-946773.3244	94	-1	0.993015	"5.403970e-01,1.336408e-01,1.480986e-02,1.296442e-01,1.323081e-01,1.412637e-02,1.498275e-02,1.480258e-02,5.288389e-03"	0.225176	0.410886	0.130602	-1074612.037	6
1	7	s11	s17	758415	0.638715	0	0	0.361283	0	0	0	0.000002	0	0	0.000002	0.361285	0	0	0	0.000002	0	0.000002	0.180644	-0.180642	-1061477.54	94	-1	0.990516	"4.773684e-01,1.323688e-01,7.909994e-02,1.665728e-01,6.793374e-02,4.155835e-02,2.456829e-02,6.147622e-04,9.914943e-03"	1.52602	0.152735	-0.29226	-1199484.785	9
1	8	s11	s18	758187	0.641681	0	0	0.358314	0.000001	0	0	0.000003	0.000001	0.000002	0.000003	0.358319	0.000001	0.000001	0.000001	0.000003	0.000001	0.000004	0.179162	-0.179157	-1054806.421	46	-1	0.990218	"4.860871e-01,1.303929e-01,7.238014e-02,1.642954e-01,6.847242e-02,4.323909e-02,2.345123e-02,6.008999e-04,1.108090e-02"	1.399562	0.15764	-0.25909	-1191389.248	9
